mkdir -p data
BIOA
BIOX
BIRD
BIS
BITF
BITS
BIVI
BIVIW
BIXI
BIXIU
BIXIW
BIYA
BJDX
BJK
BJRI
BKCH
BKHA
BKHAR
BKHAU
BKMI
BKMS
BKNG
BKR
BKYI
BL
BLBD
BLBX
BLCN
BLCR
BLDP
BLFS
BLFY
BLIN
BLIV
BLKB
BLLN
BLMN
BLNE
BLNK
BLRKU
BLRX
BLSG
BLTE
BLUW
BLUWU
BLUWW
BLZE
BLZR
BLZRU
BLZRW
BMAX
BMBL
BMDL
BMEA
BMGL
BMHL
BMNG
BMOP
BMR
BMRA
BMRC
BMRN
BNAI
BNAIW
BNBX
BNC
BNCWW
BND
BNDP
BNDW
BNDX
BNGO
BNKK
BNR
BNRG
BNTC
BNTX
BNZI
BNZIW
BODI
BOED
BOEG
BOEU
BOF
BOKF
BOLD
BOLT
BON
BOOM
BOSC
BOTJ
BOTT
BOTZ
BOXL
BPAC
BPACR
BPACU
BPOP
BPOPM
BPRN
BPYPM
BPYPN
BPYPO
BPYPP
BRAG
BRBI
BRCB
BREM
BRFH
BRHY
BRID
BRKD
BRKR
BRKRP
BRKU
BRLS
BRLSW
BRLT
BRNS
BRNY
BRR
BRRR
BRRWW
BRTR
BRTX
BRZE
BSAA
BSAAR
BSAAU
BSBK
BSCQ
BSCR
BSCS
BSCT
BSCU
BSCV
BSCW
BSCX
BSCY
BSCZ
BSET
BSJQ
BSJR
BSJS
BSJT
BSJU
BSJV
BSJW
BSJX
BSMQ
BSMR
BSMS
BSMT
BSMU
BSMV
BSMW
BSMY
BSMZ
BSRR
BSSX
BSVN
BSVO
BSY
BTAI
BTBD
BTBDW
BTBT
BTCS
BTCT
BTDR
BTF
BTGD
BTM
BTMD
BTMWW
BTOC
BTOG
BTQ
BTSG
BTSGU
BTTC
BU
BUFC
BUFI
BUFM
BUG
BULD
BULG
BULL
BULLW
BULX
BUSE
BUSEP
BUUU
BVC
BVFL
BVS
BWAY
BWB
BWBBP
BWEN
BWFG
BWIN
BWMN
BYAH
BYFC
BYND
BYRN
BYSI
BZ
BZAI
BZAIW
BZFD
BZFDW
BZUN
CA
CAAS
CABA
CABR
CAC
CACC
CADL
CAEP
CAFG
CAI
CAIQ
CAKE
CALC
CALI
CALM
CAMP
CAMT
CAN
CANC
CANQ
CAPN
CAPNR
CAPNU
CAPR
CAPS
CAPT
CAPTW
CAR
CARE
CARG
CARL
CART
CARY
CARZ
CASH
CASI
CASS
CASY
CATH
CATY
CBAT
CBC
CBFV
CBIO
CBK
CBLL
CBNK
CBRL
CBSH
CBUS
CCAP
CCB
CCBG
CCC
CCCC
CCCX
CCCXU
CCCXW
CCD
CCEC
CCEP
CCFE
CCG
CCGWW
CCHH
CCII
CCIIU
CCIIW
CCIX
CCIXU
CCIXW
CCLD
CCLDO
CCNE
CCNEP
CCNR
CCOI
CCRN
CCSB
CCSI
CCSO
CCTG
CCXIU
CD
CDC
CDIG
CDIO
CDIOW
CDL
CDLX
CDNA
CDNL
CDNS
CDRO
CDROW
CDT
CDTG
CDTTW
CDW
CDXS
CDZI
CDZIP
CECO
CEFA
CEG
CELC
CELH
CELU
CELUW
CELZ
CENN
CENT
CENTA
CENX
CEPF
CEPI
CEPO
CEPT
CEPV
CERS
CERT
CETX
CETY
CEVA
CFA
CFBK
CFFI
CFFN
CFLT
CFO
CG
CGABL
CGBD
CGC
CGCT
CGCTU
CGCTW
CGEM
CGEN
CGNT
CGNX
CGO
CGON
CGTL
CGTX
CHA
CHAC
CHACR
CHACU
CHAI
CHAR
CHARR
CHARU
CHCI
CHCO
CHDN
CHEC
CHECU
CHECW
CHEF
CHGX
CHI
CHKP
CHMG
CHNR
CHPG
CHPGR
CHPGU
CHPS
CHPX
CHR
CHRD
CHRI
CHRS
CHRW
CHSCL
CHSCM
CHSCN
CHSCO
CHSCP
CHSN
CHTR
CHW
CHY
CHYM
CIBR
